DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
chronic kidney disease (CKD),Prevotellaceae,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Prevotellaceae?,negative
chronic kidney disease (CKD),Roseburia,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Roseburia?,negative
chronic kidney disease (CKD),Enterobacteriaceae,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Enterobacteriaceae?,positive
chronic kidney disease (CKD),Streptococcaceae,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Streptococcaceae?,positive
chronic kidney disease (CKD),Enterococcus,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Enterococcus?,positive
chronic kidney disease (CKD),Lactobacillaceae,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Lactobacillaceae?,relate
chronic kidney disease (CKD),Bacteroidaceae,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Bacteroidaceae?,relate
chronic kidney disease (CKD),Streptococcus,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Streptococcus?,relate
chronic kidney disease (CKD),Roseburia,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Roseburia?,negative
chronic kidney disease (CKD),Lachnospiraceae,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Lachnospiraceae?,relate
constipation,Faecalibacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Faecalibacterium?,negative
constipation,Bifidobacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Bifidobacterium?,negative
constipation,Lactobacillus,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Lactobacillus?,negative
constipation,Lachnospira,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Lachnospira?,negative
constipation,Bacteroides,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Bacteroides?,negative
constipation,Akkermansia,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Akkermansia?,negative
chronic kidney disease (CKD),Faecalibacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Faecalibacterium?,relate
chronic kidney disease (CKD),Bifidobacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Bifidobacterium?,negative
chronic kidney disease (CKD),Lactobacillus,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Lactobacillus?,negative
chronic kidney disease (CKD),Lachnospira,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Lachnospira?,relate
chronic kidney disease (CKD),Bacteroides,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Bacteroides?,negative
chronic kidney disease (CKD),Akkermansia,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Akkermansia?,relate
chronic kidney disease (CKD),Eubacterium rectale,Mediterranean60 and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD.61 Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera.,What is the relationship between chronic kidney disease (CKD) and Eubacterium rectale?,relate
chronic kidney disease (CKD),Enterococcus,Mediterranean60 and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD.61 Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera.,What is the relationship between chronic kidney disease (CKD) and Enterococcus?,relate
chronic kidney disease (CKD),Ruminococcus,Mediterranean60 and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD.61 Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera.,What is the relationship between chronic kidney disease (CKD) and Ruminococcus?,relate
chronic kidney disease (CKD),Eubacterium,Mediterranean60 and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD.61 Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera.,What is the relationship between chronic kidney disease (CKD) and Eubacterium?,relate
chronic kidney disease (CKD),Clostridium,Mediterranean60 and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD.61 Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera.,What is the relationship between chronic kidney disease (CKD) and Clostridium?,relate
chronic kidney disease (CKD),Roseburia,Mediterranean60 and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD.61 Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera.,What is the relationship between chronic kidney disease (CKD) and Roseburia?,relate
chronic kidney disease (CKD),Bifidobacteria,"Trials of synbiotic supplementation for people with CKD are underway.9 Rossi et al.84 explored synbiotic sup- plementation for 6 weeks with nine strains from the Lactobacillus, Bifidobacteria, and Streptococcus genera with 15 g of galactooligosaccharide, inulin, and fructooligosaccharide.",What is the relationship between chronic kidney disease (CKD) and Bifidobacteria?,relate
chronic kidney disease (CKD),Streptococcus,"Trials of synbiotic supplementation for people with CKD are underway.9 Rossi et al.84 explored synbiotic sup- plementation for 6 weeks with nine strains from the Lacto- bacillus, Bifidobacteria, and Streptococcus genera with 15 g of galactooligosaccharide, inulin, and fructooligosaccharide.",What is the relationship between chronic kidney disease (CKD) and Streptococcus?,relate
chronic kidney disease (CKD),Lactobacillus,"Trials of synbiotic supplementation for people with CKD are underway.9 Rossi et al.84 explored synbiotic sup- plementation for 6 weeks with nine strains from the Lacto- bacillus, Bifidobacteria, and Streptococcus genera with 15 g of galactooligosaccharide, inulin, and fructooligosaccharide.",What is the relationship between chronic kidney disease (CKD) and Lactobacillus?,relate
stroke,Peptococcus,"For example, analysis of the cecum flora of mice after ischemic stroke revealed an increase in the relative abundance of Peptococcus and a decrease in the proportion of Prevotella.",What is the relationship between stroke and Peptococcus?,positive
stroke,Prevotella,"For example, analysis of the cecum flora of mice after ischemic stroke revealed an increase in the relative abundance of Peptococcus and a decrease in the proportion of Prevotella.",What is the relationship between stroke and Prevotella?,negative
multiple sclerosis (MS),actinomycetes,"Gut microbiota dysbiosis is characterized by less microbial diversity (fewer bacterial phyla) and upregulation of pro-inflammatory species (actinomycetes, bifidobacterial, and streptococci) in the gut of MS patients, and disordered microbial diversity resulted in significant downregulation of beneficial SCFA, suggesting that gut microbial population and its metabolites changes are associated with the onset and progression of MS.",What is the relationship between multiple sclerosis (MS) and actinomycetes?,positive
multiple sclerosis (MS),bifidobacterial,"Gut microbiota dysbiosis is characterized by less microbial diversity (fewer bacterial phyla) and upregulation of pro-inflammatory species (actinomycetes, bifidobacterial, and streptococci) in the gut of MS patients, and disordered microbial diversity resulted in significant downregulation of beneficial SCFA, suggesting that gut microbial population and its metabolites changes are associated with the onset and progression of MS.",What is the relationship between multiple sclerosis (MS) and bifidobacterial?,positive
multiple sclerosis (MS),streptococci,"Gut microbiota dysbiosis is characterized by less microbial diversity (fewer bacterial phyla) and upregulation of pro-inflammatory species (actinomycetes, bifidobacterial, and streptococci) in the gut of MS patients, and disordered microbial diversity resulted in significant downregulation of beneficial SCFA, suggesting that gut microbial population and its metabolites changes are associated with the onset and progression of MS.",What is the relationship between multiple sclerosis (MS) and streptococci?,positive
sepsis,Lactobacillus,"Moreover, microbiota transfer from intestinal clock-deficient mice into GF mice altered intestinal gene expression and suppressed immune cell recruitment225 and BaWeiBaiDuSan, a herbal formula, has been shown to alleviate polymicrobial sepsis-induced liver injury in mice by modulating macrophage anti-inflammatory activity and increasing the gut microbiota Lactobacillus johnsonii226.",What is the relationship between sepsis and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Firmicutes,"A large number of studies have also shown that IBD patients are usually accompanied by gut microbiota disturbance, which is mainly characterized by a decrease in the abundance and diversity of gut microbiota, among which the Firmicutes flora is reduced and the flora of Bacteroidetes and Actinomyces are increased [6,15].",What is the relationship between Inflammatory bowel disease (IBD) and Firmicutes?,negative
Inflammatory bowel disease (IBD),Bacteroidetes,"A large number of studies have also shown that IBD patients are usually accompanied by gut microbiota disturbance, which is mainly characterized by a decrease in the abundance and diversity of gut microbiota, among which the Firmicutes flora is reduced and the flora of Bacteroidetes and Actinomyces are increased [6,15].",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroidetes?,positive
Inflammatory bowel disease (IBD),Actinomyces,"A large number of studies have also shown that IBD patients are usually accompanied by gut microbiota disturbance, which is mainly characterized by a decrease in the abundance and diversity of gut microbiota, among which the Firmicutes flora is reduced and the flora of Bacteroidetes and Actinomyces are increased [6,15].",What is the relationship between Inflammatory bowel disease (IBD) and Actinomyces?,positive
Inflammatory bowel disease (IBD),Firmicutes,"Compared with healthy people, patients with IBD usually showed a microbiota imbalance with decreased gut microbiota diversity, reduced abundance of Firmicutes, and increased abundances of Bacteroidetes and Actinobacteria [27].",What is the relationship between Inflammatory bowel disease (IBD) and Firmicutes?,negative
Inflammatory bowel disease (IBD),Bacteroidetes,"Compared with healthy people, patients with IBD usually showed a microbiota imbalance with decreased gut microbiota diversity, reduced abundance of Firmicutes, and increased abundances of Bacteroidetes and Actinobacteria [27].",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroidetes?,positive
Inflammatory bowel disease (IBD),Actinobacteria,"Compared with healthy people, patients with IBD usually showed a microbiota imbalance with decreased gut microbiota diversity, reduced abundance of Firmicutes, and increased abundances of Bacteroidetes and Actinobacteria [27].",What is the relationship between Inflammatory bowel disease (IBD) and Actinobacteria?,positive
Inflammatory bowel disease (IBD),Enterobacteriaceae,"For example, opportunistic pathogens, such as Enterobacteriaceae, are significantly increased in IBD patients and are positively correlated with the severity of IBD, which can increase the production of LPS and induce colon inflammation by stimulating the release of proinflammatory cytokines [16,35].",What is the relationship between Inflammatory bowel disease (IBD) and Enterobacteriaceae?,positive
Inflammatory bowel disease (IBD),Clostridium difficile,"As an opportunistic pathogen, Clostridium difficile could induce intestinal infection, prolong hospital stays, and aggravate the symptoms of patients with IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium difficile?,positive
Inflammatory bowel disease (IBD),Clostridium,"As an opportunistic pathogen, Clostridium difficile could induce intestinal infection, prolong hospital stays, and aggravate the symptoms of patients with IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,positive
Inflammatory bowel disease (IBD),Clostridium,"Furthermore, evidence have shown that the abundances of beneficial bacteria species, including Clostridium clusters IV and XIVa, Faecalibacterium prausnitzii, and Eubacterium, were significantly decreased in IBD patients [38 40].",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"Furthermore, evidence have shown that the abundances of beneficial bacteria species, including Clostridium clusters IV and XIVa, Faecalibacterium prausnitzii, and Eubacterium, were significantly decreased in IBD patients [38 40].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Faecalibacterium,"Furthermore, evidence have shown that the abundances of beneficial bacteria species, including Clostridium clusters IV and XIVa, Faecalibacterium prausnitzii, and Eubacterium, were significantly decreased in IBD patients [38 40].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium?,negative
Inflammatory bowel disease (IBD),Eubacterium,"Furthermore, evidence have shown that the abundances of beneficial bacteria species, including Clostridium clusters IV and XIVa, Faecalibacterium prausnitzii, and Eubacterium, were significantly decreased in IBD patients [38 40].",What is the relationship between Inflammatory bowel disease (IBD) and Eubacterium?,negative
Inflammatory bowel disease (IBD),Clostridium coccoides,"demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41].",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium coccoides?,negative
