DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
chronic kidney disease (CKD),Prevotellaceae,"The six most dominant bacterial phyla in the gut are shown in Figure 1, with Bacillota and Bacteroidota, formerly known as Firmicutes and Bacteroidetes, representing 90% of the gut microbiota in healthy humans.13,14 Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. ",What is the relationship between chronic kidney disease (CKD) and Prevotellaceae?,negative
chronic kidney disease (CKD),Roseburia,"The six most dominant bacterial phyla in the gut are shown in Figure 1, with Bacillota and Bacteroidota, formerly known as Firmicutes and Bacteroidetes, representing 90% of the gut microbiota in healthy humans.13,14 Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. ",What is the relationship between chronic kidney disease (CKD) and Roseburia?,negative
chronic kidney disease (CKD),Enterobacteriaceae,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between chronic kidney disease (CKD) and Enterobacteriaceae?,positive
chronic kidney disease (CKD),Streptococcaceae,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between chronic kidney disease (CKD) and Streptococcaceae?,positive
chronic kidney disease (CKD),Enterococcus,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between chronic kidney disease (CKD) and Enterococcus?,positive
chronic kidney disease (CKD),Lactobacillaceae,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Lactobacillaceae?,relate
chronic kidney disease (CKD),Bacteroidaceae,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Bacteroidaceae?,relate
chronic kidney disease (CKD),Streptococcus,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Streptococcus?,relate
chronic kidney disease (CKD),Lachnospiraceae,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Lachnospiraceae?,relate
constipation,Faecalibacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Faecalibacterium?,negative
constipation,Bifidobacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Bifidobacterium?,negative
constipation,Lactobacillus,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Lactobacillus?,negative
constipation,Lachnospira,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Lachnospira?,negative
constipation,Bacteroides,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Bacteroides?,negative
constipation,Akkermansia,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Akkermansia?,negative
chronic kidney disease (CKD),Faecalibacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Faecalibacterium?,relate
chronic kidney disease (CKD),Bifidobacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Bifidobacterium?,negative
chronic kidney disease (CKD),Lactobacillus,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Lactobacillus?,negative
chronic kidney disease (CKD),Lachnospira,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Lachnospira?,relate
chronic kidney disease (CKD),Bacteroides,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Bacteroides?,negative
chronic kidney disease (CKD),Akkermansia,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Akkermansia?,relate
chronic kidney disease (CKD),Eubacterium rectale,"Manipulating dietary patterns is an important strategy for altering the profile and metabolism of the gut microbiota and the gut microbiome can rapidly respond. Mediterranean and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD. Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera. High-fiber diets can also promote saccharolytic bacteria growth, which can increase the production of SCFA, decrease gut microbiota–derived uremic toxins (e.g., p-CS, IS, and TMAO), and exert beneficial effects such as maintaining intestinal barrier integrity and mucus production to protect against inflammation.",What is the relationship between chronic kidney disease (CKD) and Eubacterium rectale?,relate
chronic kidney disease (CKD),Enterococcus,"Manipulating dietary patterns is an important strategy for altering the profile and metabolism of the gut microbiota and the gut microbiome can rapidly respond. Mediterranean and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD. Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera. High-fiber diets can also promote saccharolytic bacteria growth, which can increase the production of SCFA, decrease gut microbiota–derived uremic toxins (e.g., p-CS, IS, and TMAO), and exert beneficial effects such as maintaining intestinal barrier integrity and mucus production to protect against inflammation.",What is the relationship between chronic kidney disease (CKD) and Enterococcus?,relate
chronic kidney disease (CKD),Ruminococcus,"Manipulating dietary patterns is an important strategy for altering the profile and metabolism of the gut microbiota and the gut microbiome can rapidly respond. Mediterranean and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD. Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera. High-fiber diets can also promote saccharolytic bacteria growth, which can increase the production of SCFA, decrease gut microbiota–derived uremic toxins (e.g., p-CS, IS, and TMAO), and exert beneficial effects such as maintaining intestinal barrier integrity and mucus production to protect against inflammation.",What is the relationship between chronic kidney disease (CKD) and Ruminococcus?,relate
chronic kidney disease (CKD),Eubacterium,"Manipulating dietary patterns is an important strategy for altering the profile and metabolism of the gut microbiota and the gut microbiome can rapidly respond. Mediterranean and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD. Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera. High-fiber diets can also promote saccharolytic bacteria growth, which can increase the production of SCFA, decrease gut microbiota–derived uremic toxins (e.g., p-CS, IS, and TMAO), and exert beneficial effects such as maintaining intestinal barrier integrity and mucus production to protect against inflammation.",What is the relationship between chronic kidney disease (CKD) and Eubacterium?,relate
chronic kidney disease (CKD),Clostridium,"Manipulating dietary patterns is an important strategy for altering the profile and metabolism of the gut microbiota and the gut microbiome can rapidly respond. Mediterranean and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD. Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera. High-fiber diets can also promote saccharolytic bacteria growth, which can increase the production of SCFA, decrease gut microbiota–derived uremic toxins (e.g., p-CS, IS, and TMAO), and exert beneficial effects such as maintaining intestinal barrier integrity and mucus production to protect against inflammation.",What is the relationship between chronic kidney disease (CKD) and Clostridium?,relate
chronic kidney disease (CKD),Roseburia,"Manipulating dietary patterns is an important strategy for altering the profile and metabolism of the gut microbiota and the gut microbiome can rapidly respond. Mediterranean and plant-dominant diets promote more diverse and stable gut microbiota profiles but we do not have long-term data in people with CKD. Plant-dominant dietary patterns increase bacteria such as Ruminococcus and Roseburia genera and Eubacterium rectale species and reduce Clostridium and Enterococcus genera. High-fiber diets can also promote saccharolytic bacteria growth, which can increase the production of SCFA, decrease gut microbiota–derived uremic toxins (e.g., p-CS, IS, and TMAO), and exert beneficial effects such as maintaining intestinal barrier integrity and mucus production to protect against inflammation.",What is the relationship between chronic kidney disease (CKD) and Roseburia?,relate
chronic kidney disease (CKD),Bifidobacteria,"Trials of synbiotic supplementation for people with CKD are underway.9 Rossi et al.84 explored synbiotic sup- plementation for 6 weeks with nine strains from the Lactobacillus, Bifidobacteria, and Streptococcus genera with 15 g of galactooligosaccharide, inulin, and fructooligosaccharide.",What is the relationship between chronic kidney disease (CKD) and Bifidobacteria?,relate
chronic kidney disease (CKD),Streptococcus,"Trials of synbiotic supplementation for people with CKD are underway.9 Rossi et al.84 explored synbiotic supplementation for 6 weeks with nine strains from the Lactobacillus, Bifidobacteria, and Streptococcus genera with 15 g of galactooligosaccharide, inulin, and fructooligosaccharide. Synbiotic therapy was associated with increased Bifidobacterium genera and reduced the Ruminococcaceae family. However, there were increases in albuminuria. The same group has conducted follow-up studies on the long-term feasibility of synbiotics. McFarlane et al.85 used 20 g of resistant starch fiber and the same probiotic species and found enrichments to acetate and butyrate-forming species (Bifidobacterium and Blautia). ",What is the relationship between chronic kidney disease (CKD) and Streptococcus?,relate
chronic kidney disease (CKD),Lactobacillus,"Trials of synbiotic supplementation for people with CKD are underway.9 Rossi et al.84 explored synbiotic supplementation for 6 weeks with nine strains from the Lactobacillus, Bifidobacteria, and Streptococcus genera with 15 g of galactooligosaccharide, inulin, and fructooligosaccharide. Synbiotic therapy was associated with increased Bifidobacterium genera and reduced the Ruminococcaceae family. However, there were increases in albuminuria. The same group has conducted follow-up studies on the long-term feasibility of synbiotics. McFarlane et al.85 used 20 g of resistant starch fiber and the same probiotic species and found enrichments to acetate and butyrate-forming species (Bifidobacterium and Blautia). ",What is the relationship between chronic kidney disease (CKD) and Lactobacillus?,relate
